Func Code,Function Description,Employment Status,Job Category,Line No,Salary Band,Hispanic/Latino Male,Hispanci/Latino Female,"Non Hispanic/Latino - Male, White","NonHispanic/Latino - Male, Black","NonHispanic/Latino - Male, Asian","NonHispanic/Latino - Male, NHOPI","NonHispanic/Latino - Male, Amer Ind","NonHispanic/Latino - Male, 2+ Races","Non Hispanic/Latino - Female, White","NonHispanic/Latino - Female, Black","NonHispanic/Latino - Female, Asian","NonHispanic/Latino - Female, NHOPI","NonHispanic/Latino - Female, Amer Ind","NonHispanic/Latino - Female, 2+ Races",Total,FY
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,,,,1,,,,,,,,,,,1,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,,,,1,,,,,,,,,,,1,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,24,20,106,23,19,0,0,2,96,31,36,0,0,5,362,2021
10,COMMUNITY DEVELOPMENT,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,1,4,2,1,,,,2,1,,,,,11,2021
10,COMMUNITY DEVELOPMENT,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,,,2,,,,,,,,,,,,2,2021
10,COMMUNITY DEVELOPMENT,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,1,4,2,2,4,,,,3,,2,,,,18,2021
10,COMMUNITY DEVELOPMENT,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,1,,,,,,,,,,,,,1,2021
10,COMMUNITY DEVELOPMENT,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,1,6,8,4,5,0,0,0,5,1,2,0,0,0,32,2021
10,COMMUNITY DEVELOPMENT,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,,1,,,,,,,3,,,,,,4,2021
10,COMMUNITY DEVELOPMENT,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,1,,4,,,,,,3,,,,,,8,2021
10,COMMUNITY DEVELOPMENT,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,,5,2,2,4,,,,5,,2,,,,20,2021
10,COMMUNITY DEVELOPMENT,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,1,6,6,2,4,0,0,0,11,0,2,0,0,0,32,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,70,78,103,227,33,1,,5,45,445,9,,2,6,1024,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROFESSIONALS,12,25.0-32.9,1,,,,,,,,,2,,,,,3,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,1,3,,7,1,,,,3,6,,,,,21,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,34,61,10,62,7,,,,9,147,12,1,1,4,348,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,31,41,27,88,15,,,1,18,220,14,,3,1,459,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,40,51,85,79,33,,1,2,59,203,24,,2,4,583,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,2,5,1,5,1,,,1,1,8,,,,,24,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,1,1,2,7,4,,,,,10,1,,,,26,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,,4,,2,3,,,,,5,,,1,,15,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,26,18,17,48,14,,1,1,4,48,2,,,,179,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,436,276,207,683,124,3,4,12,52,681,18,1,6,18,2521,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,599,328,396,1436,132,3,17,15,56,1534,15,,24,14,4569,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,,3,1,4,,,,,,4,,,,,12,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,3,3,,16,3,,,,2,10,,,,,37,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,14,9,1,12,2,,,,1,15,1,,,1,56,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,6,11,3,13,2,,,,8,22,3,,,1,69,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,5,6,1,2,2,,,,3,9,,,,,28,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,4,14,4,7,8,,,1,3,40,3,,,1,85,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,2,10,1,12,5,,,,8,47,5,,,,90,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,1,6,1,2,2,,,,4,26,6,,,,48,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,1,7,,,,,,,,9,1,,,,18,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,,,5,3,1,,,,,,,,,,9,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,,,,3,1,,,,,1,,,,,5,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,9,1,16,13,1,,1,,,,,,,,41,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,16,,134,33,13,1,1,1,,,,,,,199,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,8,2,1,58,3,,1,1,,32,2,,,,108,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,14,4,9,30,1,,,,2,4,,,,1,65,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,4,2,13,7,,,,,,3,,,,,29,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,5,,17,6,2,,,,,2,,,,,32,2021
11,CORRECTIONS,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,1333,944,1055,2865,413,8,26,40,278,3533,116,2,39,51,10703,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,2,4,8,9,5,,,,4,7,1,,,,40,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,TECHNICIANS,68,,,,1,,,,,1,1,1,,,,,4,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,3,2,1,8,1,,1,,1,17,1,,,1,36,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,1,,1,,,,1,,1,1,,,,5,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,SKILLED CRAFT,72,,,,1,,,,,,,,,,,,1,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,5,,4,3,,,,,,1,,,,,13,2021
11,CORRECTIONS,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,10,7,15,21,6,0,1,2,6,27,3,0,0,1,99,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,3,2,8,11,14,,,,2,18,2,,,,60,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,6,14,4,11,2,,,,8,27,1,1,1,2,77,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,,,,,1,,,,,,,,,,1,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,2,1,1,5,1,,,,5,14,1,,,,30,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,,,,,,,,,,1,,,,,1,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,1,,8,2,2,,,,,,,,,,13,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,5,,1,3,,,,,,1,,,,,10,2021
11,CORRECTIONS,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,17,17,22,32,20,0,0,0,15,61,4,1,1,2,192,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,,,,,,1,,,1,3,,,,,5,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,12,6,97,28,38,,,1,27,20,11,,,,240,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,7,3,6,23,4,,,2,1,9,1,,,,56,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,26,9,27,42,16,,1,6,10,28,2,,,1,168,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,41,22,111,64,62,,2,3,41,38,31,,,1,416,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,83,53,300,131,205,,1,5,165,174,60,,1,4,1182,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,1,,3,1,3,,,,1,6,1,,,,16,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,,3,6,1,1,,,,,3,1,,,,15,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,,,3,3,3,,,,1,2,1,,,,13,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,1,1,3,1,1,,,,,,,,,1,8,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,3,2,2,3,2,,,,1,7,1,,,,21,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,5,6,6,3,3,,,,3,10,6,,,,42,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,8,10,9,8,4,,,,5,19,1,,,2,66,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,4,5,6,7,,,,1,7,8,1,,,1,40,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,44,25.0-32.9,,,,2,1,,,,,,,,,,3,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,5,13,3,13,5,,,1,5,40,11,,,1,97,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,13,28,12,24,11,,,3,16,123,16,,,5,251,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,4,18,4,8,1,,,,10,58,5,,,2,110,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,5,7,3,2,,,,,4,23,,,,,44,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,19,6,5,28,8,1,,,,4,,,,,71,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,26,6,52,54,9,,2,9,2,2,,,1,,163,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,62,1,245,83,40,2,3,5,4,7,,,1,,453,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,186,15,759,286,47,,6,6,15,31,1,,1,,1353,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,7,5,3,9,,,,,,5,,,,,29,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,133,17,230,189,7,,3,7,21,51,1,,,1,660,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,2,,3,2,1,,,,,,,,,,8,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,5,1,8,13,3,,,,,1,,,,,31,2021
12,UTILITIES AND TRANSPORTATION,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,658,237,1906,1028,475,4,18,49,340,672,151,0,4,19,5561,2021
12,UTILITIES AND TRANSPORTATION,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,7,6,9,7,16,,,,7,3,8,,,,63,2021
12,UTILITIES AND TRANSPORTATION,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,,,,,,,,1,,,,,,1,2021
12,UTILITIES AND TRANSPORTATION,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,7,6,9,7,16,0,0,0,8,3,8,0,0,0,64,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,,3,4,,,,,,1,,1,,,,9,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,7,1,16,11,14,,,2,8,2,3,,,,64,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,,,,,,,,,,1,,,,,1,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,,,1,,,,,,,,,,,1,2,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,,2,9,3,7,,,,6,2,6,,,,35,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,,,,,,,,,,1,,,,,1,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,22,1,95,18,7,1,1,3,1,4,,,,,153,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,20,3,35,39,1,,1,1,2,11,,,,,113,2021
12,UTILITIES AND TRANSPORTATION,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,49,10,160,71,29,1,2,6,18,21,10,0,0,1,378,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,1,1,,5,2,,,,,,2,,,,11,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,47,11,413,63,80,1,1,3,76,23,20,,,2,740,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,12,25.0-32.9,1,,1,11,,,,,,5,,,,,18,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,13,6,17,43,2,,,,4,14,5,,,1,105,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,35,12,53,46,15,,1,3,9,37,6,,,3,220,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,35,33,152,48,138,1,,5,92,43,42,,,3,592,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,91,88,526,129,255,2,,7,230,126,117,,,10,1581,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,1,,,9,5,,,1,,,2,,,,18,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,2,3,6,18,20,,,,4,5,2,,,,60,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,11,5,20,18,22,,,2,7,9,7,,,1,102,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,7,2,24,15,12,,1,1,8,8,2,,,1,81,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,6,7,17,1,,,,,3,,1,,,,35,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,25,2,100,21,2,,1,,16,1,,,,,168,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,3,,9,1,,,,,,,,,,,13,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,,,,,,,,,,1,,,,,1,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,4,8,3,6,,,,,2,5,5,,,1,34,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,4,4,6,4,2,,1,,5,9,2,,1,1,39,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,9,9,9,12,4,,,1,12,16,5,,,1,78,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,4,11,9,2,3,,,,4,9,5,,,,47,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,44,25.0-32.9,,,,,,,,,,1,,,,,1,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,12,47,20,29,12,,,1,24,109,16,,1,6,277,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,30,59,19,45,14,,,4,42,149,24,,2,2,390,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,7,40,12,17,3,,1,1,34,67,23,,1,3,209,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,3,14,7,5,3,,,,20,36,5,,,1,94,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,3,,25,4,2,,,1,1,,,,,,36,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,10,,21,7,4,,3,,,,,,,,45,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,11,,119,15,17,,1,1,2,1,,,,1,168,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,291,2,1319,315,220,1,11,21,8,3,2,,,,2193,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SERV/MAINT,60,25.0-32.9,2,1,2,5,1,,,,,3,,,,1,15,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,24,9,18,57,4,,,,1,24,1,,,2,140,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,323,16,541,157,46,3,2,15,28,28,3,,,3,1165,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,89,2,160,38,16,,,2,5,6,,,,,318,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,1288,40,3191,1149,104,2,19,20,44,70,,,5,1,5933,2021
13,SANITATION AND SEWAGE,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,2392,432,6819,2295,1008,10,42,89,681,808,297,0,10,44,14927,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,,2,,,,,,,,,,,,2,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,,1,6,2,2,,,,8,2,2,,,,23,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,15,11,19,10,25,,,1,15,15,20,,1,,132,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,1,2,,,,,,,6,6,2,,1,,18,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,SKILLED CRAFT,72,,13,,14,8,6,1,,,,,,,,,42,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,59,16,43,480,23,,1,2,2,68,1,,,,695,2021
13,SANITATION AND SEWAGE,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,88,30,84,500,56,1,1,3,31,91,25,0,2,0,912,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,4,1,19,2,13,,,,4,,2,,,,45,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,14,4,29,14,18,,,2,12,2,2,,,,97,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,,2,,,,,,,,,1,,,,3,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,8,7,18,7,24,,,,11,8,16,,1,,100,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,1,1,,,1,,,,2,2,1,,,,8,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,1,,14,3,,,,,,,1,,,,19,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,95,31,59,562,30,,2,3,5,113,1,1,,1,903,2021
13,SANITATION AND SEWAGE,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,123,46,139,588,86,0,2,5,34,125,24,1,1,1,1175,2021
15,OTHER,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,6,43.0-54.9,,,,2,,,,,,,,,,,2,2021
15,OTHER,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,1,2,6,7,5,,,1,4,3,,,,1,30,2021
15,OTHER,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,37,31,148,44,60,,1,5,67,41,32,,,2,468,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,,,1,,,,,,,,,,,1,2,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,6,2,2,3,7,,,,3,5,3,,,,31,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,14,8,23,25,35,,,,13,12,25,,1,,156,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,48,43,158,72,145,,,4,83,51,58,,1,3,666,2021
15,OTHER,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,,,2,,,,,,1,,,,,,3,2021
15,OTHER,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,4,3,5,3,1,,,,2,3,1,,1,,23,2021
15,OTHER,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,6,5,4,17,4,,1,,6,3,5,,,1,52,2021
15,OTHER,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,4,2,6,2,1,,,2,6,2,1,,,,26,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,2,,2,1,,,,,,,,,,1,6,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,1,,1,2,,,,,,,,,,,4,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,1,,,,,,,,,1,,,,,2,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,,1,,,,,,,,,,,,,1,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,,4,2,1,,,,,,5,,,,,12,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,1,4,2,4,,,,,2,3,,,1,,17,2021
15,OTHER,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,1,5,1,3,1,,,,3,3,,,,1,18,2021
15,OTHER,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,,1,1,,,,,1,,3,1,,,,7,2021
15,OTHER,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,,5,1,5,,,,,1,9,1,,,,22,2021
15,OTHER,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,,7,,2,3,,,,4,16,6,,,1,39,2021
15,OTHER,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,,3,,2,,,,,1,6,,,1,,13,2021
15,OTHER,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,,,1,,1,,,,,,,,,,2,2021
15,OTHER,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,,,,1,,,,,,,,,,,1,2021
15,OTHER,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,2,,,,,,,,,,,,,,2,2021
15,OTHER,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,128,126,366,196,263,0,2,13,196,166,133,0,5,11,1605,2021
15,OTHER,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,1,,,,,,,2,1,,,,,4,2021
15,OTHER,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,,,,,,,,,1,1,,,,1,3,2021
